season_number,season_id,team_id,team_name,is_ai,roster_count,injuries_created,injuries_minor,injuries_medium,injuries_major,training_injuries,match_injuries,active_injuries,active_medium_major_injuries,avg_max_body_wear,max_body_wear,players_body_wear_over_70,players_body_wear_over_90
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,a7997283-358e-4c86-bb5c-1bbe865b736a,农场主富勒,True,17,8,7,1,0,7,1,1,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,a8b4d912-316d-4247-a375-5237b6dd9517,青龙偃月,True,16,2,2,0,0,2,0,0,0,3.11,3.5,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,a8daeebf-77a6-467b-af74-82520b31d1df,食蚁兽长,True,16,0,0,0,0,0,0,0,0,1.28,1.5,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,a8f5236d-ed25-4d79-9fbc-2a6e237590f4,阿里巴巴,True,16,2,2,0,0,2,0,0,0,0.07,1.2,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,a9abf299-7238-49ce-9147-f3a64cc2ce1b,公牛都灵,True,16,6,5,1,0,2,4,1,0,2.87,3.5,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,a9b5b0e7-7b38-4883-8a10-f08b6e204fd0,狼堡沃尔夫,True,17,0,0,0,0,0,0,0,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,a9e2ee7c-196e-406b-8a61-7a12de641391,猫眼石闪,True,17,5,3,2,0,1,4,0,0,2.46,21.38,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,aac28b58-decc-4ebb-b817-1a1b4b7ed73a,阿拉维斯,True,17,7,5,2,0,2,5,0,0,2.06,4.66,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,aadbd3a9-b5b8-40b3-bc10-fa7795c32060,蜜蜂布伦特,True,16,2,2,0,0,2,0,0,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,ad25703e-0053-415e-8523-0d2730ac9365,狼队伍尔弗,True,17,3,3,0,0,1,2,0,0,2.95,3.5,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,ad44aa92-5680-4336-b85b-25d37bcc796f,大黄蜂多,True,16,6,4,1,1,4,2,0,0,1.37,1.5,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,ae6dc05a-edf4-460a-8f15-00a7210e38db,老鹰水晶宫,True,16,2,2,0,0,1,1,0,0,1.26,2.4,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,ae87bcfc-d77a-4910-8d64-9fc17100da25,角马迁徙,True,16,5,5,0,0,4,1,0,0,0.81,1.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,af0a19de-6d42-4cff-8708-16eb0a12603c,马略卡岛,True,17,4,3,1,0,2,2,0,0,2.43,3.6,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,b04ea948-66e6-4998-863f-bcbc9927f0c7,食人鱼群,True,17,4,4,0,0,2,2,0,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,b324d8ce-d613-460e-87db-74ad94d92d35,枪手兵工厂,True,17,3,3,0,0,0,3,0,0,0.07,1.2,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,b4107dca-e269-4f3a-8ab1-a36b3e309113,红军利物浦,True,16,0,0,0,0,0,0,0,0,2.15,2.5,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,b4921016-e7cb-4a6a-b6b1-be4c5a053f7b,青云直上,True,17,7,7,0,0,7,0,0,0,2.13,3.6,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,b60163ef-97d5-4976-8fed-85ae5dfc5b3f,塞尔塔天,True,16,2,2,0,0,1,1,0,0,2.28,2.5,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,b6d8396d-19f1-4386-88e0-93a3818eef4a,斑马条纹,True,17,5,4,1,0,3,2,0,0,5.98,6.5,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,b6dd5442-7f02-480a-9abd-e47600d0cfe6,金石为开,True,17,8,7,1,0,5,3,0,0,2.96,3.5,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,b757ce5d-d52d-4f60-93fe-8f5613340a47,乌拉圭牛,True,16,5,3,2,0,3,2,0,0,1.13,16.89,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,b77ab317-4751-4e3a-aca1-21cad5ef5341,狂熊撼地,True,17,2,1,1,0,1,1,0,0,1.38,2.4,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,b9010125-c177-46f0-ac56-eda4ec51d4f8,红尘滚滚,True,17,3,3,0,0,3,0,0,0,2.36,19.16,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,b9155ad9-e3b9-436a-af60-85e08ee184d9,钢铁柏林,True,16,3,2,0,1,1,2,0,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,bc4fdf86-d4fc-406e-b527-32b06cd5f360,印加帝国,True,17,7,7,0,0,5,2,0,0,2.8,20.34,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,bca64a9c-5aa4-4b59-a840-dccca22ca4ec,美洲豹王,True,16,3,3,0,0,0,3,0,0,3.13,3.5,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,be2cac80-28c9-42b2-b208-fe897bc8bf38,紫电鹰扬,True,16,2,2,0,0,1,1,0,0,1.29,1.5,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,bff686b7-f43b-4ee6-ab47-65f08e42f3e7,闪电杰尼,False,15,9,7,2,0,5,4,0,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,c2e849d6-e49c-42a2-aded-da25324efa95,潘帕斯草,True,16,3,2,1,0,1,2,0,0,2.95,3.5,0,0
