season_number,season_id,team_id,team_name,is_ai,league_id,league_level,position,points,played,won,drawn,lost,goals_for,goals_against,goal_difference,roster_count,avg_ovr,top8_ovr,max_ovr,contracts_signed,rookie_contracts,academy_signings,rookie_market_signings,free_market_signings,auto_fill_signings,wage_cap,wage_bill,wage_pressure_pct,balance,financial_health,overspend_level,reserve_budget,reserve_spent,reserve_auto_used,reserve_medical_used,reserve_events_used,reserve_usage_pct,reserve_pct_of_locked,medical_count,medical_cost,medical_reserve_paid,medical_cash_paid,medical_enhanced,medical_specialist,medical_aggressive,medical_avg_days_reduced
1,455699c0-edca-4e58-9186-1ec5b18670d4,21706367-1e1a-4bfe-9668-6ce9106a500b,非洲大象,True,a8ec6c43-9a0e-42cd-b2e1-963b58d9340c,4,8,13,14,3,4,7,22,35,-13,17,49.18,55.12,71,4,0,2,0,0,0,1600000.0,401730.8,25.11,10816480.5,A,none,396200.0,0.0,0.0,0.0,0,0.0,14.0,0,0,0,0,0,0,0,0.0
1,455699c0-edca-4e58-9186-1ec5b18670d4,22488ec0-0237-47bb-aa04-077eb845cc79,金虎啸月,True,8a027fae-d748-4c85-8a11-37de4bd90b6f,2,4,20,14,5,5,4,40,33,7,17,63.06,72.62,80,9,0,4,0,0,0,3100000.0,1119874.35,36.12,21252975.02,A,none,415000.0,0.0,0.0,0.0,0,0.0,10.0,0,0,0,0,0,0,0,0.0
1,455699c0-edca-4e58-9186-1ec5b18670d4,225a3c64-33f6-48f3-9a03-e73f890516ba,沙漠孤鹰,True,8d7aa7b8-73f5-4999-837a-9d0fcfb7d136,3,4,22,14,7,1,6,22,24,-2,17,57.65,65.0,70,5,0,2,0,0,0,2250000.0,714724.0,31.77,16236115.0,A,none,370000.0,0.0,0.0,0.0,0,0.0,10.0,0,0,0,0,0,0,0,0.0
1,455699c0-edca-4e58-9186-1ec5b18670d4,2317e286-af75-4f8a-a288-0abef9448569,桑巴学校,True,2a8bf9b2-582b-490a-89f2-7b4730a2ce31,3,1,29,14,9,2,3,35,17,18,17,57.35,64.12,78,6,0,2,1,0,0,2250000.0,721839.0,32.08,16114208.02,A,none,370000.0,0.0,0.0,0.0,0,0.0,10.0,0,0,0,0,0,0,0,0.0
1,455699c0-edca-4e58-9186-1ec5b18670d4,234bcd4d-8d2a-4f88-86b0-ef7e1d96b4dd,红尘滚滚,True,ddba9114-41f9-45fa-a164-259266417371,4,4,20,14,6,2,6,24,26,-2,17,52.12,60.75,70,9,0,2,1,0,0,1600000.0,383976.9,24.0,11253184.75,A,none,283000.0,0.0,0.0,0.0,0,0.0,10.0,0,0,0,0,0,0,0,0.0
1,455699c0-edca-4e58-9186-1ec5b18670d4,24251399-1fc9-451c-9bbf-86cfd3d45d73,角马迁徙,True,a8ec6c43-9a0e-42cd-b2e1-963b58d9340c,4,2,24,14,6,6,2,25,18,7,17,50.71,57.25,70,8,0,2,0,0,0,1600000.0,381164.7,23.82,11652384.25,A,none,245000.0,0.0,0.0,0.0,0,0.0,10.0,0,0,0,0,0,0,0,0.0
1,455699c0-edca-4e58-9186-1ec5b18670d4,26847f9c-ef39-4471-ade3-36831b122014,宇宙巴萨,True,40b6a748-d2d4-45b7-92e2-7b307cacfc35,3,8,5,14,1,2,11,17,38,-21,17,58.29,67.12,79,5,0,2,1,0,0,2250000.0,621893.0,27.64,16232909.98,A,none,370000.0,0.0,0.0,0.0,0,0.0,10.0,0,0,0,0,0,0,0,0.0
1,455699c0-edca-4e58-9186-1ec5b18670d4,2926e991-7daf-4173-afb0-463a675a33be,十字军东,True,81f12a59-26de-47ae-9b93-1e8859a477fc,4,3,22,14,6,4,4,21,24,-3,17,50.47,57.38,62,3,0,2,0,0,0,1600000.0,431802.8,26.99,11577152.52,A,none,245000.0,0.0,0.0,0.0,0,0.0,10.0,0,0,0,0,0,0,0,0.0
1,455699c0-edca-4e58-9186-1ec5b18670d4,2935ef37-4ed2-447d-8382-ba20dc52d9c5,探戈情人,True,17281054-036c-4881-9079-150f08885d65,2,4,19,14,5,4,5,29,33,-4,17,67.24,77.38,87,6,0,2,1,0,0,3100000.0,1466405.4,47.3,21645422.98,A,none,415000.0,0.0,0.0,0.0,0,0.0,10.0,0,0,0,0,0,0,0,0.0
1,455699c0-edca-4e58-9186-1ec5b18670d4,29515d5d-2757-4179-89c9-dee5e7a017c1,丝路驼铃,True,26e92ab4-34ab-40b1-86d6-8edd57d7f7a7,3,6,20,14,5,5,4,22,21,1,17,59.18,68.12,84,6,0,2,0,0,0,2250000.0,810623.0,36.03,16101788.48,A,none,370000.0,0.0,0.0,0.0,0,0.0,10.0,0,0,0,0,0,0,0,0.0
