season_number,season_id,metric_type,position,players,matches,goals,assists,shots,key_passes,assists_per_key_pass,shots_per_match,goals_per_match,tackles,tackles_succ,interceptions,clearances,blocks,def_actions,tackles_per_match,interceptions_per_match,def_actions_per_match,df_tackles,mf_tackles,df_interceptions,mf_interceptions,df_def_actions,mf_def_actions,df_tackle_share_pct,df_interception_share_pct,df_def_action_share_pct,df_mf_tackle_ratio,df_mf_interception_ratio,player_id,player_name,ovr,passes,warning,goal_assist_total
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,17,9,8,30,,,,,,,,,,,,,,,,,,,,,,,,,f4537801-278e-412c-b214-7a165576532b,佐蒂科斯 弗拉泰西,60.0,,,17
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,18,11,6,38,,,,,,,,,,,,,,,,,,,,,,,,,575fce25-98ca-4710-bbe4-3cae851ea449,波格丹 卡费尔尼科夫,62.0,,,17
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,16,12,5,40,,,,,,,,,,,,,,,,,,,,,,,,,cde9857f-eadd-4b1a-926f-465511cad4e2,哈立德 拉比耶,58.0,,,17
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,16,12,5,43,,,,,,,,,,,,,,,,,,,,,,,,,e43cc5ee-6dda-45a5-bb71-78f708b513f6,哈利勒 桑德斯,63.0,,,17
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,MF,,18,13,4,40,,,,,,,,,,,,,,,,,,,,,,,,,16c65b3b-6b17-4a93-aa7e-50ccf2306fbb,热拉尔 桑切斯,61.0,,,17
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,position,FW,672,9450,4169,1747,17425,5787,0.302,1.844,0.441,18751,10679,14841,8262,5265,47119,1.984,1.57,4.986,,,,,,,,,,,,,,,,,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,position,MF,1033,14013,4074,2564,20600,9866,0.26,1.47,0.291,32749,24858,26132,9410,7849,76140,2.337,1.865,5.434,,,,,,,,,,,,,,,,,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,position,DF,736,8689,1274,893,8599,2310,0.387,0.99,0.147,17024,14139,15428,3656,3250,39358,1.959,1.776,4.53,,,,,,,,,,,,,,,,,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,position,GK,314,4457,8,141,61,89,1.584,0.014,0.002,0,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,defense_distribution,,,,,,,,,,,,,,,,,,,,17024,32749,15428,26132,39358,76140,24.84,27.35,24.2,0.52,0.59,,,,,,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,FW,,18,14,11,,19,0.579,,,,,,,,,,,,,,,,,,,,,,,d47e8710-eada-4447-9e54-030b7b5fb918,茂 北野,56.0,330,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,20,3,11,,18,0.611,,,,,,,,,,,,,,,,,,,,,,,8f4c178c-e4fc-4381-87ab-58e2c0ac229a,卢西恩 韦斯顿,55.0,330,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,17,10,11,,13,0.846,,,,,,,,,,,,,,,,,,,,,,,cc2f63e6-f838-4ba7-b693-89e9c977d37d,奥克塔维安 霍夫曼,43.0,340,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,21,14,10,,15,0.667,,,,,,,,,,,,,,,,,,,,,,,e5bc823b-521d-41eb-8734-a92ade550d28,哈康 维塔尔松,67.0,357,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,FW,,19,16,10,,20,0.5,,,,,,,,,,,,,,,,,,,,,,,9a5dbcd7-4715-43f2-8267-4e5456edf161,曾强,61.0,298,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,15,5,10,,27,0.37,,,,,,,,,,,,,,,,,,,,,,,9ed1066c-339f-4673-a035-385acbc7c5de,胡里奥 古德温,49.0,394,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,FW,,17,16,10,,24,0.417,,,,,,,,,,,,,,,,,,,,,,,6330c0b7-ea3c-48ac-9280-9fee65d49887,伊瓦诺 桑托斯,67.0,320,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,16,7,10,,24,0.417,,,,,,,,,,,,,,,,,,,,,,,d950765f-d034-4670-a999-fc3bd6a80d19,韦峻文,38.0,385,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,FW,,15,5,10,,14,0.714,,,,,,,,,,,,,,,,,,,,,,,535be0ad-0669-4843-ad0f-bd3300b612c7,佑镇 将,59.0,352,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,16,6,10,,14,0.714,,,,,,,,,,,,,,,,,,,,,,,587732d5-bc68-4ed7-840e-3bca74acd538,塔利卜 哈米德,62.0,360,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,FW,,19,9,9,,9,1.0,,,,,,,,,,,,,,,,,,,,,,,b534586a-ffbd-4928-a52a-ce0ef741a059,卢克 科布,45.0,296,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,15,3,9,,19,0.474,,,,,,,,,,,,,,,,,,,,,,,9a0fb473-4de6-4b21-8d60-2f18dac0db42,杜递,68.0,368,False,
