season_number,season_id,team_id,team_name,is_ai,league_id,league_level,position,points,played,won,drawn,lost,goals_for,goals_against,goal_difference,roster_count,avg_ovr,top8_ovr,max_ovr,contracts_signed,rookie_contracts,academy_signings,rookie_market_signings,free_market_signings,auto_fill_signings,wage_cap,wage_bill,wage_pressure_pct,balance,financial_health,overspend_level
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,1e9dd6c4-5654-43b9-b015-820e6b746148,绿茵魔术师,True,9c6d0d26-d73b-4e64-a24b-07ecc3e24dcf,1,5,20,14,6,2,6,32,34,-2,15,80.93,87.12,96,5,0,0,0,0,0,4200000.0,2832708.0,67.45,14384523.01,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,1fc6b440-f3a0-40a8-9da9-6aeb7511c6f2,沙漠玫瑰,True,d0849cc4-a873-4461-bd7f-b6932ad21180,4,7,13,14,4,1,9,18,29,-11,14,59.43,63.88,69,2,0,0,0,0,0,1600000.0,621358.0,38.83,6431581.47,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,2057008e-e99c-4efd-9acf-ff25f2ea4cff,尼罗河神,True,ae1face9-61aa-4db8-8abd-3463c41992ac,1,2,26,14,7,5,2,51,35,16,14,75.57,82.0,92,5,0,0,0,0,0,4200000.0,2019955.0,48.09,15541684.96,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,208710dc-1c42-4656-a917-fa2cf48be7b1,中原飞虎,True,d20b9cee-18bd-4a8d-be78-a5b2681775bc,2,2,27,14,8,3,3,35,18,17,15,70.6,76.38,84,4,0,0,0,0,0,3100000.0,1464122.0,47.23,12870071.13,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,22a97709-e9b7-47c7-a868-436c9fc04b53,青龙偃月,True,4464c52b-5a24-426c-b8f4-ab59a28259ce,1,7,14,14,4,2,8,23,34,-11,14,77.14,83.5,89,7,0,0,0,0,0,4200000.0,2283335.0,54.37,14977148.63,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,23e14ca1-58d8-4e82-8320-1660f2004670,石化巨人,True,1e16da56-65f9-4e5d-ac82-71ca951a25e5,2,7,13,14,3,4,7,26,33,-7,14,70.64,75.88,85,8,0,0,0,0,0,3100000.0,1326954.0,42.8,12623713.9,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,25b85fb1-f46c-41b1-a611-99b7b0e5f623,撒丁岛卡,True,e300379f-18d3-4ef4-84e4-ba515ccb5d34,4,7,15,14,5,0,9,23,32,-9,15,60.4,68.0,74,3,0,0,0,0,0,1600000.0,801365.0,50.09,6176930.84,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,263cf029-6ac6-4387-9c0e-3b60159bfbbf,紫电龙骑,True,4464c52b-5a24-426c-b8f4-ab59a28259ce,1,3,22,14,6,4,4,34,31,3,15,77.0,82.5,94,6,0,0,0,0,0,4200000.0,2328842.0,55.45,14873610.6,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,26592c57-70eb-43ac-89fe-cbb2e4fd7d1d,一千零一夜,True,ae1face9-61aa-4db8-8abd-3463c41992ac,1,6,15,14,4,3,7,29,40,-11,15,77.73,83.88,93,4,0,0,0,0,0,4200000.0,2452537.0,58.39,14563128.15,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,27106979-3665-4b74-bc64-256babe7ad2e,沙漠之舟,True,a14c4617-240a-46a6-990f-37f821870474,3,4,20,14,6,2,6,25,25,0,15,69.27,74.5,92,3,0,0,0,0,0,2250000.0,1465155.0,65.12,8924147.7,A,none
